,artist_name,artist_id,genres,followers,popularity
49xpbBtoLsXG6CuroDz0x6,Odious Mortem,Odious Mortem,49xpbBtoLsXG6CuroDz0x6,"['brutal death metal', 'cosmic death metal', 'technical brutal death metal', 'technical death metal']","{'href': None, 'total': 10864}",7
7HZsliIfJCmrH49ZpEH3C6,Sangre Eterna,Sangre Eterna,7HZsliIfJCmrH49ZpEH3C6,"['deep melodic death metal', 'serbian metal', 'symphonic death metal']","{'href': None, 'total': 238}",0
1xKWwvtQAOXdCNsLz0Hso0,Source of Tide,Source Of Tide,1xKWwvtQAOXdCNsLz0Hso0,"['deep symphonic black metal', 'gothic black metal', 'melodic black metal']","{'href': None, 'total': 139}",0
3NtvtjubLJohqxepCwJ8l4,Methad,Methad,3NtvtjubLJohqxepCwJ8l4,['korean metal'],"{'href': None, 'total': 21}",0
5RGwDicnZas2EIEM0oK3Zy,Mortualia,Mortualia,5RGwDicnZas2EIEM0oK3Zy,['autonomous black metal'],"{'href': None, 'total': 816}",4
2ZwU9tiM1rjrUtB5Y77OYu,Etorkizun Beltza,Etorkizun beltza,2ZwU9tiM1rjrUtB5Y77OYu,['euskal metal'],"{'href': None, 'total': 166}",1
2iLpvtffIrQ4bMYrFPRN4x,Deuce,Deuce,2iLpvtffIrQ4bMYrFPRN4x,['rap rock'],"{'href': None, 'total': 211116}",46
2I1mYWzqP08Y7VFW8p1SHH,Blood Island Raiders,Blood Island Raiders,2I1mYWzqP08Y7VFW8p1SHH,['uk doom metal'],"{'href': None, 'total': 179}",0
7j5ZOhQO61HXl12ZjVWCt8,Woodhawk,Woodhawk,7j5ZOhQO61HXl12ZjVWCt8,['canadian stoner rock'],"{'href': None, 'total': 2724}",6
1DDkvs10itfTjoYdf0c5UB,The Ox,The Ox,1DDkvs10itfTjoYdf0c5UB,['metal balear'],"{'href': None, 'total': 29}",0
